영화ID,OTT 플랫폼,제공 방식,대여 가격,소장 가격
M138,왓챠,구독,,
M139,왓챠,대여,1400,
M139,왓챠,소장,,5000
M140,왓챠,대여,1400,
M140,왓챠,소장,,5000
M141,왓챠,구독,,
M141,티빙,구독,,
M141,넷플릭스,구독,,
M141,왓챠,대여,1540,
M141,쿠팡플레이,대여,1600,
M141,왓챠,소장,,7150
M142,넷플릭스,구독,,
M143,왓챠,구독,,
M143,웨이브,구독,,
M143,티빙,구독,,
M143,왓챠,대여,1540,
M143,웨이브,대여,1800,
M143,왓챠,소장,,3850
M144,왓챠,구독,,
M144,넷플릭스,구독,,
M144,티빙,구독,,
M144,왓챠,대여,2750,
M144,웨이브,대여,2750,
M144,왓챠,소장,,7150
M144,웨이브,소장,,7150
M145,왓챠,구독,,
M145,넷플릭스,구독,,
M145,티빙,구독,,
M145,웨이브,구독,,
M145,왓챠,대여,2750,
M145,왓챠,소장,,7150
M146,왓챠,구독,,
M146,티빙,구독,,
M146,웨이브,구독,,
M146,왓챠,대여,1320,
M146,쿠팡플레이,대여,1400,
M146,왓챠,소장,,6050
M146,쿠팡플레이,소장,,5500
M147,쿠팡플레이,구독,,
M147,왓챠,구독,,
M147,넷플릭스,구독,,
M147,티빙,구독,,
M147,왓챠,대여,1540,
M147,왓챠,소장,,7150
M148,왓챠,구독,,
M148,넷플릭스,구독,,
M148,티빙,구독,,
M148,웨이브,구독,,
M148,쿠팡플레이,구독,,
M148,왓챠,대여,1540,
M148,왓챠,소장,,7150
M149,왓챠,구독,,
M149,넷플릭스,구독,,
M149,티빙,구독,,
M149,웨이브,구독,,
M149,왓챠,대여,2750,
M149,왓챠,소장,,7150
M150,왓챠,구독,,
M150,넷플릭스,구독,,
M150,티빙,구독,,
M150,웨이브,구독,,
M150,왓챠,대여,1540,
M150,쿠팡플레이,대여,1600,
M150,왓챠,소장,,7150
M151,왓챠,구독,,
M151,티빙,구독,,
M151,웨이브,대여,1540,
M151,웨이브,소장,,6050
